scenario_type,cars_N,cars_S,cars_E,cars_W,wait_N,wait_S,wait_E,wait_W,phase_flag,rush_flag,ped_flag,best_green_time
medium,0,0,0,4,0.0,0.0,0.0,45.0,1,0,0,10
medium,4,1,0,2,52.0,4.0,0.0,5.0,0,0,0,15
medium,1,0,2,3,1.0,0.0,16.0,45.0,1,0,0,10
medium,4,0,0,3,53.0,0.0,0.0,3.0,0,0,0,10
medium,5,0,1,3,47.0,0.0,1.0,26.0,1,0,0,10
medium,6,1,0,2,56.0,6.0,0.0,3.0,0,0,0,15
medium,0,0,2,3,0.0,0.0,19.0,35.0,1,0,0,10
medium,7,1,0,2,81.0,4.0,0.0,2.0,0,0,0,10
medium,6,1,1,3,50.0,1.0,1.0,26.0,1,0,0,10
medium,6,1,0,0,56.0,3.0,0.0,0.0,0,0,0,15
medium,1,0,2,4,1.0,0.0,15.0,39.0,1,0,0,10
medium,7,1,0,2,80.0,4.0,0.0,2.0,0,0,0,10
medium,6,0,1,2,47.0,0.0,1.0,24.0,1,0,0,10
medium,6,1,0,1,57.0,5.0,0.0,1.0,0,0,0,10
medium,0,0,2,2,0.0,0.0,8.0,18.0,1,0,0,10
medium,6,0,0,2,63.0,0.0,0.0,4.0,0,0,0,15
medium,0,0,1,4,0.0,0.0,5.0,46.0,1,0,0,10
medium,4,1,1,2,21.0,10.0,2.0,7.0,0,0,0,15
medium,1,0,3,3,1.0,0.0,26.0,34.0,1,0,0,10
medium,5,2,0,2,55.0,8.0,0.0,2.0,0,0,0,20
medium,3,1,1,4,5.0,1.0,8.0,62.0,1,0,0,15
medium,6,1,0,1,129.0,19.0,0.0,3.0,0,0,0,10
medium,0,0,3,3,0.0,0.0,15.0,21.0,1,0,0,15
medium,5,2,0,2,89.0,7.0,0.0,3.0,0,0,0,15
medium,1,0,0,5,3.0,0.0,0.0,55.0,1,0,0,10
medium,7,1,0,0,88.0,9.0,0.0,0.0,0,0,0,20
medium,0,1,2,5,0.0,1.0,30.0,102.0,1,0,0,10
medium,5,2,0,2,69.0,13.0,0.0,2.0,0,0,0,10
medium,3,2,1,2,15.0,4.0,1.0,23.0,1,0,0,10
medium,6,0,0,0,69.0,0.0,0.0,0.0,0,0,0,10
medium,0,0,1,5,0.0,0.0,5.0,41.0,1,0,0,10
medium,5,1,0,2,65.0,1.0,0.0,3.0,0,0,0,10
medium,2,0,0,4,5.0,0.0,0.0,45.0,1,0,0,10
medium,5,0,0,2,51.0,0.0,0.0,1.0,0,0,0,15
medium,1,0,2,5,1.0,0.0,13.0,65.0,1,0,0,10
medium,5,2,0,2,56.0,7.0,0.0,4.0,0,0,0,20
medium,0,1,2,5,0.0,1.0,14.0,87.0,1,0,0,20
